message_type,username1,username2,password,message_content,messagesseen,leader
1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL
1,caro,NULL,p,NULL,NULL,NULL
5,caro,victor,NULL,Hello,NULL,NULL
3,caro,NULL,NULL,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL
2,caro,NULL,p,NULL,NULL,NULL
1,victor,NULL,p,NULL,NULL,NULL
1,victor,NULL,p,NULL,NULL,NULL
message_type,username1,username2,password,message_content,messagesseen,leader1,victor,NULL,p,NULL,NULL,NULL
message_type,username1,username2,password,message_content,messagesseen,leader1,victor,NULL,p,NULL,NULL,NULL
1,victor,NULL,p,NULL,NULL,NULL
1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
1,victor,NULL,p,NULL,NULL,NULL
message_type,username1,username2,password,message_content,messagesseen,leader1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULLmessage_type,username1,username2,password,message_content,messagesseen,leader2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
1,caro,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
1,caro,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
5,caro,victor,NULL,Hello,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
5,caro,victor,NULL,Hello,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
3,caro,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
3,caro,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
7,victor,caro,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
7,victor,caro,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
9,victor,caro,NULL,NULL,1,NULL1,victor,NULL,p,NULL,NULL,NULL
9,victor,caro,NULL,NULL,1,NULL1,victor,NULL,p,NULL,NULL,NULL
7,victor,caro,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
7,victor,caro,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
9,victor,caro,NULL,NULL,1,NULL1,victor,NULL,p,NULL,NULL,NULL
9,victor,caro,NULL,NULL,1,NULL1,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
3,victor,NULL,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,caro,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,caro,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
7,caro,victor,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
7,caro,victor,NULL,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
9,caro,victor,NULL,NULL,1,NULL1,victor,NULL,p,NULL,NULL,NULL
9,caro,victor,NULL,NULL,1,NULL1,victor,NULL,p,NULL,NULL,NULL
1,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
1,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
2,victor,NULL,p,NULL,NULL,NULL1,victor,NULL,p,NULL,NULL,NULL
